rank,city,state,estimate_population_2017,census_2018,change,land_area_miles_2016,land_area_km_2016,population_density_miles_2016,population_density_km_2016,city_link,area_codes,county,area_land,gov_mayor,area_metro,gov_type,area_water,about_city,lattitude,longitude,country
243,Independence,Missouri,116925,116830,+0.08,77.8  ,201.5 ,1504 ,581,"https://en.wikipedia.org/wiki/Independence,_Missouri",area code,counties,• land,• mayor,nan,nan,• water, , 39.085, -94.3521,USA
244,Fairfield,California,116884,105321,+10.98,40.9  ,105.9 ,2806 ,1083,"https://en.wikipedia.org/wiki/Fairfield,_California",area code,county,• land,• mayor,nan,• type,• water, ,38.2593,-122.0321,USA
245,Provo,Utah,116702,112488,+3.75,41.7  ,108.0 ,2803 ,1082,"https://en.wikipedia.org/wiki/Provo,_Utah",area codes,county,• land,• mayor,• metro,• type,• water, ,40.2453,-111.6448,USA
246,Clearwater,Florida,116478,107685,+8.17,25.9  ,67.1 ,4415 ,1705,"https://en.wikipedia.org/wiki/Clearwater,_Florida",nan,nan,nan,nan,nan,nan,nan, , 27.978, -82.7666,USA
247,College Station,Texas,116218,93857,+23.82,51.0  ,132.1 ,2199 ,849,"https://en.wikipedia.org/wiki/College_Station,_Texas",area code,county,• land,• mayor,• metro,• type,• water, , 30.585, -96.2964,USA
248,West Jordan,Utah,116046,103712,+11.89,32.3  ,83.7 ,3520 ,1360,"https://en.wikipedia.org/wiki/West_Jordan,_Utah",area code,county,• land,nan,nan,nan,• water, ,40.6024,-112.0008,USA
249,Carlsbad,California,115877,105328,+10.02,37.7  ,97.6 ,3023 ,1167,"https://en.wikipedia.org/wiki/Carlsbad,_California",area codes,county,• land,• mayor,nan,• type,• water, ,33.1239,-117.2828,USA
250,El Monte,California,115586,113475,+1.86,9.6  ,24.9 ,12063 ,4658,"https://en.wikipedia.org/wiki/El_Monte,_California",area code,county,• land,• mayor,nan,• type,• water, ,34.0746,-118.0291,USA
251,Murrieta,California,114985,103466,+11.13,33.6  ,87.0 ,3324 ,1283,"https://en.wikipedia.org/wiki/Murrieta,_California",area code,county,• land,nan,nan,• type,• water, ,33.5721,-117.1904,USA
252,Temecula,California,114742,100097,+14.63,37.3  ,96.6 ,3031 ,1170,"https://en.wikipedia.org/wiki/Temecula,_California",area code,county,• land,nan,nan,nan,• water, ,33.4931,-117.1317,USA
253,Springfield,Illinois,114694,116250,−1.34,60.1  ,155.7 ,1925 ,743,"https://en.wikipedia.org/wiki/Springfield,_Illinois",area code,county,• land,• mayor,• metro,nan,• water, , 39.791, -89.6446,USA
254,Palm Bay,Florida,114194,103190,+10.66,65.7  ,170.2 ,1676 ,647,"https://en.wikipedia.org/wiki/Palm_Bay,_Florida",area code,county,• land,• mayor,• metro,• type,• water, , 27.985, -80.6626,USA
255,Costa Mesa,California,113615,109960,+3.32,15.7  ,40.7 ,7186 ,2775,"https://en.wikipedia.org/wiki/Costa_Mesa,_California",nan,nan,nan,nan,nan,nan,nan, ,33.6659,-117.9123,USA
256,Westminster,Colorado,113479,106114,+6.94,31.7  ,82.1 ,3592 ,1387,"https://en.wikipedia.org/wiki/Westminster,_Colorado",area code,counties,• land,• mayor,nan,• type,• water, ,39.8822,-105.0644,USA
257,North Charleston,South Carolina,113237,97471,+16.18,73.7  ,190.9 ,1483 ,573,"https://en.wikipedia.org/wiki/North_Charleston,_South_Carolina",nan,counties,• land,• mayor,• metro,• type,• water, , 32.917, -80.0650,USA
258,Miami Gardens,Florida,113069,107167,+5.51,18.2  ,47.1 ,6212 ,2398,"https://en.wikipedia.org/wiki/Miami_Gardens,_Florida",area code,county,• land,• mayor,• metro,• type,• water, , 25.948, -80.2436,USA
259,Manchester,New Hampshire,112525,109565,+2.70,33.1  ,85.7 ,3339 ,1289,"https://en.wikipedia.org/wiki/Manchester,_New_Hampshire",area code,county,• land,• mayor,• metro,nan,• water, , 42.984, -71.4441,USA
260,High Point,North Carolina,112316,104371,+7.61,55.2  ,143.0 ,2015 ,778,"https://en.wikipedia.org/wiki/High_Point,_North_Carolina",area code,counties,• land,• mayor,• metro,nan,• water, , 35.990, -79.9905,USA
261,Downey,California,112269,111772,+0.44,12.4  ,32.1 ,9134 ,3527,"https://en.wikipedia.org/wiki/Downey,_California",area code,county,• land,nan,nan,• type,• water, ,33.9382,-118.1309,USA
262,Clovis,California,112022,95631,+17.14,24.2  ,62.7 ,4404 ,1700,"https://en.wikipedia.org/wiki/Clovis,_California",area code,county,• land,• mayor,nan,• type,• water, ,36.8282,-119.6849,USA
263,Pompano Beach,Florida,111954,99845,+12.13,24.0  ,62.2 ,4558 ,1760,"https://en.wikipedia.org/wiki/Pompano_Beach,_Florida",area code,county,• land,• mayor,• metro,• type,• water, , 26.241, -80.1339,USA
264,Pueblo,Colorado,111750,106595,+4.84,53.6  ,138.8 ,2058 ,795,"https://en.wikipedia.org/wiki/Pueblo,_Colorado",area code,county,• land,• mayor,nan,• type,• water, ,38.2699,-104.6123,USA
265,Elgin,Illinois,111683,108188,+3.23,37.4  ,96.9 ,2998 ,1158,"https://en.wikipedia.org/wiki/Elgin,_Illinois",area code,counties,• land,• mayor,nan,• type,• water, , 42.039, -88.3217,USA
266,Lowell,Massachusetts,111670,106519,+4.84,13.6  ,35.2 ,8129 ,3139,"https://en.wikipedia.org/wiki/Lowell,_Massachusetts",area code,county,• land,• mayor,nan,• type,• water, , 42.639, -71.3211,USA
267,Antioch,California,111535,102372,+8.95,29.4  ,76.1 ,3772 ,1456,"https://en.wikipedia.org/wiki/Antioch,_California",area code,county,• land,• mayor,• metro,nan,• water, ,37.9791,-121.7962,USA
268,West Palm Beach,Florida,111398,99919,+11.49,55.1  ,142.7 ,1963 ,758,"https://en.wikipedia.org/wiki/West_Palm_Beach,_Florida",area code,county,• land,• mayor,• metro,• type,• water, , 26.746, -80.1251,USA
269,Peoria,Illinois,111388,115007,−3.15,48.2  ,124.8 ,2371 ,915,"https://en.wikipedia.org/wiki/Peoria,_Illinois",area code,county,• land,• mayor,• metro,• type,• water, , 40.751, -89.6174,USA
270,Everett,Washington,111262,103019,+8.00,33.3  ,86.2 ,3275 ,1264,"https://en.wikipedia.org/wiki/Everett,_Washington",area code,county,• land,• mayor,• metro,• type,• water, ,47.9566,-122.1914,USA
271,Ventura,California,111128,106433,+4.41,21.8  ,56.5 ,5027 ,1941,"https://en.wikipedia.org/wiki/Ventura,_California",area code,county,• land,• mayor,nan,nan,• water, ,34.2678,-119.2542,USA
272,Centennial,Colorado,110831,100377,+10.41,29.5  ,76.4 ,3727 ,1439,"https://en.wikipedia.org/wiki/Centennial,_Colorado",area code,county,• land,• mayor,• metro,• type,• water, ,39.5906,-104.8691,USA
273,Lakeland,Florida,110516,97422,+13.44,65.9  ,170.7 ,1615 ,624,"https://en.wikipedia.org/wiki/Lakeland,_Florida",area code,county,• land,• mayor,• metro,• type,• water, , 28.055, -81.9549,USA
274,Gresham,Oregon,110158,105594,+4.32,23.3  ,60.3 ,4786 ,1848,"https://en.wikipedia.org/wiki/Gresham,_Oregon",area code,county,• land,• mayor,• metro,nan,• water, ,45.5023,-122.4416,USA
275,Richmond,California,110146,103701,+6.21,30.1  ,78.0 ,3648 ,1409,"https://en.wikipedia.org/wiki/Richmond,_California",area code,county,• land,nan,• metro,• type,• water, ,37.9523,-122.3606,USA
276,Billings,Montana,109550,104170,+5.16,43.7  ,113.2 ,2525 ,975,"https://en.wikipedia.org/wiki/Billings,_Montana",area code,county,• land,• mayor,• metro,• type,• water, ,45.7885,-108.5499,USA
277,Inglewood,California,109419,109673,−0.23,9.1  ,23.6 ,12160 ,4700,"https://en.wikipedia.org/wiki/Inglewood,_California",area codes,county,• land,nan,nan,• type,• water, ,33.9561,-118.3443,USA
278,Broken Arrow,Oklahoma,109171,98850,+10.44,61.7  ,159.8 ,1741 ,672,"https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma",area code,counties,• land,• mayor,• metro,• type,• water, , 36.036, -95.7810,USA
279,Sandy Springs,Georgia,108797,93853,+15.92,37.7  ,97.6 ,2804 ,1083,"https://en.wikipedia.org/wiki/Sandy_Springs,_Georgia",area code,county,• land,• mayor,nan,nan,• water, , 33.931, -84.3687,USA
280,Jurupa Valley,California,108393,0,NA[ab],42.9  ,111.1 ,2414 ,932,"https://en.wikipedia.org/wiki/Jurupa_Valley,_California",area code,county,• land,• mayor,• metro,• type,• water, ,34.0026,-117.4676,USA
281,Hillsboro,Oregon,108389,91611,+18.31,25.0  ,64.7 ,4207 ,1624,"https://en.wikipedia.org/wiki/Hillsboro,_Oregon",area code,county,• land,• mayor,nan,• type,• water, ,45.5280,-122.9357,USA
282,Waterbury,Connecticut,108093,110366,−2.06,28.5  ,73.8 ,3799 ,1467,"https://en.wikipedia.org/wiki/Waterbury,_Connecticut",area code,county,• land,• mayor,nan,• type,• water, , 41.558, -73.0367,USA
283,Santa Maria,California,107408,99553,+7.89,22.8  ,59.1 ,4662 ,1800,"https://en.wikipedia.org/wiki/Santa_Maria,_California",area code,county,• land,• mayor,• metro,• type,• water, ,34.9332,-120.4438,USA
284,Boulder,Colorado,107353,97385,+10.24,24.8  ,64.2 ,4358 ,1683,"https://en.wikipedia.org/wiki/Boulder,_Colorado",area code,county,• land,• mayor,• metro,• type,• water, ,40.0270,-105.2519,USA
285,Greeley,Colorado,107348,92889,+15.57,47.8  ,123.8 ,2176 ,840,"https://en.wikipedia.org/wiki/Greeley,_Colorado",area code,county,• land,• mayor,nan,• type,• water, ,40.4153,-104.7697,USA
286,Daly City,California,107008,101123,+5.82,7.6  ,19.7 ,14009 ,5409,"https://en.wikipedia.org/wiki/Daly_City,_California",area codes,county,• land,• mayor,nan,• type,• water, ,37.7009,-122.4650,USA
287,Meridian,Idaho,106804,75092,+42.23,29.8  ,77.2 ,3584 ,1384,"https://en.wikipedia.org/wiki/Meridian,_Idaho",area code,county,• land,• mayor,• metro,nan,• water, ,43.6142,-116.3989,USA
288,Lewisville,Texas,106586,95290,+11.85,36.7  ,95.1 ,2852 ,1101,"https://en.wikipedia.org/wiki/Lewisville,_Texas",area code,counties,• land,nan,nan,• type,• water, , 33.046, -96.9818,USA
289,Davie,Florida,106558,91992,+15.83,34.9  ,90.4 ,2919 ,1127,"https://en.wikipedia.org/wiki/Davie,_Florida",nan,nan,nan,nan,nan,nan,nan, , 26.079, -80.2850,USA
290,West Covina,California,106311,106098,+0.20,16.0  ,41.4 ,6740 ,2600,"https://en.wikipedia.org/wiki/West_Covina,_California",nan,nan,nan,nan,nan,nan,nan, ,34.0559,-117.9099,USA
291,League City,Texas,106244,83560,+27.15,51.2  ,132.6 ,1992 ,769,"https://en.wikipedia.org/wiki/League_City,_Texas",area code,counties,• land,• mayor,nan,• type,• water, , 29.490, -95.1091,USA
292,Tyler,Texas,105729,96900,+9.11,56.6  ,146.6 ,1852 ,715,"https://en.wikipedia.org/wiki/Tyler,_Texas",area code,county,• land,• mayor,• metro,• type,• water, , 32.317, -95.3059,USA
293,Norwalk,California,105120,105549,−0.41,9.7  ,25.1 ,10946 ,4226,"https://en.wikipedia.org/wiki/Norwalk,_California",area code,county,• land,nan,nan,• type,• water, ,33.9076,-118.0835,USA
294,San Mateo,California,105025,97207,+8.04,12.1  ,31.3 ,8592 ,3317,"https://en.wikipedia.org/wiki/San_Mateo,_California",area code,county,• land,• mayor,nan,nan,• water, ,37.5603,-122.3106,USA
295,Green Bay,Wisconsin,104879,104057,+0.79,45.4  ,117.6 ,2316 ,894,"https://en.wikipedia.org/wiki/Green_Bay,_Wisconsin",area code,county,• land,• mayor,• metro,nan,• water, , 44.520, -87.9842,USA
296,Wichita Falls,Texas,104576,104553,+0.02,72.2  ,187.0 ,1450 ,560,"https://en.wikipedia.org/wiki/Wichita_Falls,_Texas",nan,nan,nan,nan,nan,nan,nan, , 33.906, -98.5259,USA
297,Sparks,Nevada,104246,90264,+15.49,35.9  ,93.0 ,2810 ,1080,"https://en.wikipedia.org/wiki/Sparks,_Nevada",area code,county,• land,• mayor,nan,• type,• water, ,39.5544,-119.7356,USA
298,Lakewood,New Jersey,104157,92843,+12.19,24.7  ,64.0 ,4079 ,1575,"https://en.wikipedia.org/wiki/Lakewood_Township,_New_Jersey",area code,county,• land,• mayor,nan,• type,• water, , 40.077, -74.2004,USA
299,Burbank,California,103695,103340,+0.34,17.4  ,45.1 ,6003 ,2318,"https://en.wikipedia.org/wiki/Burbank,_California",area codes,county,• land,• mayor,nan,• type,• water, ,34.1901,-118.3264,USA
300,Rialto,California,103440,99171,+4.30,22.3  ,57.8 ,4633 ,1789,"https://en.wikipedia.org/wiki/Rialto,_California",nan,nan,nan,nan,nan,nan,nan, ,34.1118,-117.3883,USA
301,Allen,Texas,103383,84246,+22.72,27.1  ,70.2 ,3715 ,1434,"https://en.wikipedia.org/wiki/Allen,_Texas",area code,county,nan,nan,nan,• type,nan, , 33.099, -96.6631,USA
302,El Cajon,California,103241,99478,+3.78,14.5  ,37.6 ,7156 ,2763,"https://en.wikipedia.org/wiki/El_Cajon,_California",area code,county,• land,• mayor,nan,nan,• water, ,32.8017,-116.9604,USA
303,Las Cruces,New Mexico,102926,97618,+5.44,76.9  ,199.2 ,1323 ,511,"https://en.wikipedia.org/wiki/Las_Cruces,_New_Mexico",nan,county,• land,• mayor,• metro,• type,• water, ,32.3264,-106.7897,USA
304,Renton,Washington,102153,90927,+12.35,23.4  ,60.6 ,4314 ,1666,"https://en.wikipedia.org/wiki/Renton,_Washington",nan,nan,nan,nan,nan,nan,nan, ,47.4761,-122.1920,USA
305,Davenport,Iowa,102085,99685,+2.41,62.9  ,162.9 ,1631 ,630,"https://en.wikipedia.org/wiki/Davenport,_Iowa",area code,county,• land,• mayor,• metro,• type,• water, , 41.554, -90.6040,USA
306,South Bend,Indiana,101860,101168,+0.68,41.4  ,107.2 ,2457 ,949,"https://en.wikipedia.org/wiki/South_Bend,_Indiana",area code,county,• land,• mayor,• metro,• type,• water, , 41.676, -86.2690,USA
307,Vista,California,101224,93834,+7.88,18.7  ,48.4 ,5436 ,2099,"https://en.wikipedia.org/wiki/Vista,_California",area codes,county,• land,• mayor,nan,• type,• water, ,33.1895,-117.2386,USA
308,Tuscaloosa,Alabama,101113,90468,+11.77,71.7  ,185.7 ,1399 ,540,"https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama",area code,county,• land,• mayor,• metro,• type,• water, , 33.206, -87.5346,USA
309,Clinton,Michigan,100800,96796,+4.14,28.1  ,72.8 ,3573 ,1380,"https://en.wikipedia.org/wiki/Clinton_Township,_Macomb_County,_Michigan",area code,county,• land,nan,nan,nan,• water, , 42.590, -82.9170,USA
310,Edison,New Jersey,100693,99967,+0.73,30.1  ,78.0 ,3389 ,1309,"https://en.wikipedia.org/wiki/Edison,_New_Jersey",area code,county,• land,• mayor,nan,• type,• water, , 40.504, -74.3494,USA
311,Woodbridge,New Jersey,100450,99585,+0.87,23.3  ,60.3 ,4351 ,1680,"https://en.wikipedia.org/wiki/Woodbridge_Township,_New_Jersey",area code,county,• land,• mayor,nan,• type,• water, , 40.560, -74.2927,USA
312,San Angelo,Texas,100215,93200,+7.53,59.9  ,155.1 ,1681 ,649,"https://en.wikipedia.org/wiki/San_Angelo,_Texas",area code,county,• land,nan,• metro,• type,• water, ,31.4411,-100.4505,USA
313,Kenosha,Wisconsin,100164,99218,+0.95,28.0  ,72.5 ,3577 ,1381,"https://en.wikipedia.org/wiki/Kenosha,_Wisconsin",area code,county,• land,• mayor,nan,• type,• water, , 42.582, -87.8456,USA
314,Vacaville,California,100154,92428,+8.36,29.0  ,75.1 ,3449 ,1332,"https://en.wikipedia.org/wiki/Vacaville,_California",area code,county,• land,• mayor,nan,nan,• water, ,38.3539,-121.9728,USA
