rank,city,state,estimate_population_2017,census_2018,change,land_area_miles_2016,land_area_km_2016,population_density_miles_2016,population_density_km_2016,city_link,area_codes,county,area_land,gov_mayor,area_metro,gov_type,area_water,about_city,lattitude,longitude,country
151,Pembroke Pines,Florida,172374,154019,+11.92,33.0  ,85.5 ,5109 ,1973,"https://en.wikipedia.org/wiki/Pembroke_Pines,_Florida",area code,county,• land,• mayor,nan,• type,• water, , 26.021, -80.3404,USA
152,Peoria,Arizona,172259,154065,+11.81,175.7  ,455.1 ,934 ,361,"https://en.wikipedia.org/wiki/Peoria,_Arizona",nan,nan,nan,nan,nan,nan,nan, ,33.7862,-112.3080,USA
153,Eugene,Oregon,171245,156185,+9.64,44.1  ,114.2 ,3777 ,1458,"https://en.wikipedia.org/wiki/Eugene,_Oregon",area code,county,• land,• mayor,nan,• type,• water, ,44.0567,-123.1162,USA
154,Corona,California,168819,152374,+10.79,39.5  ,102.3 ,4222 ,1630,"https://en.wikipedia.org/wiki/Corona,_California",area code,county,• land,• mayor,• metro,• type,• water, ,33.8620,-117.5655,USA
155,Cary,North Carolina,168160,135234,+24.35,56.5  ,146.3 ,2873 ,1109,"https://en.wikipedia.org/wiki/Cary,_North_Carolina",area codes,counties,• land,• mayor,nan,nan,• water, , 35.780, -78.8133,USA
156,Springfield,Missouri,168122,159498,+5.41,82.3  ,213.2 ,2033 ,785,"https://en.wikipedia.org/wiki/Springfield,_Missouri",area code,counties,• land,• mayor,• metro,• type,• water, , 37.194, -93.2913,USA
157,Fort Collins,Colorado,167830,143986,+16.56,55.8  ,144.5 ,2943 ,1136,"https://en.wikipedia.org/wiki/Fort_Collins,_Colorado",area code,county,• land,• mayor,nan,• type,• water, ,40.5482,-105.0648,USA
158,Jackson,Mississippi,164422,173514,−5.24,111.0  ,287.5 ,1524 ,588,"https://en.wikipedia.org/wiki/Jackson,_Mississippi",area codes,counties,• land,• mayor,• metro,• type,• water, , 32.315, -90.2128,USA
159,Alexandria,Virginia,160530,139966,+14.69,15.0  ,38.8 ,10387 ,4010,"https://en.wikipedia.org/wiki/Alexandria,_Virginia",area code,county,• land,• mayor,nan,• type,• water, , 38.820, -77.0841,USA
160,Hayward,California,159620,144186,+10.70,45.5  ,117.8 ,3493 ,1349,"https://en.wikipedia.org/wiki/Hayward,_California",area code,county,• land,• mayor,• metro,• type,• water, ,37.6287,-122.1024,USA
161,Lancaster,California,159053,156633,+1.55,94.3  ,244.2 ,1698 ,656,"https://en.wikipedia.org/wiki/Lancaster,_California",area code,county,• land,• mayor,nan,• type,• water, ,34.6936,-118.1753,USA
162,Lakewood,Colorado,156798,142980,+9.66,42.9  ,111.1 ,3599 ,1390,"https://en.wikipedia.org/wiki/Lakewood,_Colorado",area code,county,• land,• mayor,• metro,• type,• water, ,39.6989,-105.1176,USA
163,Clarksville,Tennessee,156794,132929,+17.95,98.3  ,254.6 ,1529 ,590,"https://en.wikipedia.org/wiki/Clarksville,_Tennessee",area code,county,• land,• mayor,nan,nan,• water, , 36.566, -87.3452,USA
164,Palmdale,California,156667,152750,+2.56,106.0  ,274.5 ,1484 ,573,"https://en.wikipedia.org/wiki/Palmdale,_California",area code,county,• land,nan,• metro,• type,• water, ,34.5910,-118.1054,USA
165,Salinas,California,156259,150441,+3.87,23.6  ,61.1 ,6662 ,2572,"https://en.wikipedia.org/wiki/Salinas,_California",area code,county,• land,• mayor,nan,• type,• water, ,36.6902,-121.6337,USA
166,Springfield,Massachusetts,155032,153060,+1.29,31.9  ,82.6 ,4830 ,1860,"https://en.wikipedia.org/wiki/Springfield,_Massachusetts",area code,county,• land,• mayor,• metro,• type,• water, , 42.115, -72.5400,USA
167,Hollywood,Florida,154823,140768,+9.98,27.3  ,70.7 ,5568 ,2150,"https://en.wikipedia.org/wiki/Hollywood,_Florida",nan,nan,nan,nan,nan,nan,nan, , 26.031, -80.1646,USA
168,Pasadena,Texas,153219,149043,+2.80,43.5  ,112.7 ,3525 ,1361,"https://en.wikipedia.org/wiki/Pasadena,_Texas",area code,county,• land,• mayor,• metro,• type,• water, , 29.658, -95.1506,USA
169,Sunnyvale,California,153185,140081,+9.35,22.0  ,57.0 ,6944 ,2681,"https://en.wikipedia.org/wiki/Sunnyvale,_California",area codes,county,• land,• mayor,nan,• type,• water, ,37.3858,-122.0263,USA
170,Macon,Georgia,153095,91351,+67.59,249.3  ,645.7 ,612 ,236,"https://en.wikipedia.org/wiki/Macon,_Georgia",area code,county,• land,• mayor,• metro,nan,• water, , 32.808, -83.6942,USA
171,Kansas City,Kansas,152958,145786,+4.92,124.8  ,323.2 ,1216 ,470,"https://en.wikipedia.org/wiki/Kansas_City,_Kansas",area code,county,• land,• mayor,nan,nan,• water, , 39.122, -94.7418,USA
172,Pomona,California,152361,149058,+2.22,23.0  ,59.6 ,6630 ,2560,"https://en.wikipedia.org/wiki/Pomona,_California",area code,county,• land,nan,nan,• type,• water, ,34.0585,-117.7611,USA
173,Escondido,California,152213,143911,+5.77,37.1  ,96.1 ,4087 ,1578,"https://en.wikipedia.org/wiki/Escondido,_California",area codes,county,• land,• mayor,nan,• type,• water, ,33.1331,-117.0740,USA
174,Killeen,Texas,149103,127921,+16.56,53.5  ,138.6 ,2680 ,1030,"https://en.wikipedia.org/wiki/Killeen,_Texas",area code,county,• land,nan,nan,• type,• water, , 31.077, -97.7320,USA
175,Naperville,Illinois,148304,141853,+4.55,38.7  ,100.2 ,3802 ,1468,"https://en.wikipedia.org/wiki/Naperville,_Illinois",nan,nan,nan,nan,nan,nan,nan, , 41.749, -88.1620,USA
176,Joliet,Illinois,148099,147433,+0.45,64.4  ,166.8 ,2302 ,889,"https://en.wikipedia.org/wiki/Joliet,_Illinois",area codes,counties,• land,• mayor,nan,• type,• water, , 41.517, -88.1488,USA
177,Bellevue,Washington,147599,122363,+20.62,33.5  ,86.8 ,4221 ,1630,"https://en.wikipedia.org/wiki/Bellevue,_Washington",area code,county,• land,• mayor,• metro,nan,• water, ,47.5979,-122.1565,USA
178,Rockford,Illinois,146526,152871,−4.15,63.5  ,164.5 ,2325 ,898,"https://en.wikipedia.org/wiki/Rockford,_Illinois",area code,county,• land,• mayor,• metro,nan,• water, , 42.258, -89.0646,USA
179,Savannah,Georgia,145862,136286,+7.03,103.6  ,268.3 ,1417 ,547,"https://en.wikipedia.org/wiki/Savannah,_Georgia",area code,county,• land,• mayor,• metro,nan,• water, , 32.002, -81.1536,USA
180,Paterson,New Jersey,145627,146199,−0.39,8.4  ,21.8 ,17500 ,6800,"https://en.wikipedia.org/wiki/Paterson,_New_Jersey",area code,county,• land,• mayor,nan,• type,• water, , 40.914, -74.1628,USA
181,Torrance,California,145182,145438,−0.18,20.5  ,53.1 ,7180 ,2770,"https://en.wikipedia.org/wiki/Torrance,_California",area codes,county,• land,nan,nan,• type,• water, ,33.8350,-118.3414,USA
